0.314 0.809 2.647 4.491 6.794 10.239336
0.357 0.761 2.366 4.528 6.447  9.259268
0.312 0.900 2.295 4.512 7.274 10.938506
0.313 0.836 2.437 4.169 7.027 10.965180
0.326 0.868 2.395 3.153 6.803 10.802161
0.327 0.848 2.215 4.094 5.341  8.763614
0.417 0.755 2.127 3.852 5.715  7.664189
0.449 0.845 2.028 4.001 6.131  9.122674
0.314 0.834 2.188 4.258 6.528  9.694298
0.300 0.729 2.080 3.968 6.011  9.205815
0.335 0.700 1.913 3.776 5.488  8.895033
0.304 0.901 2.206 4.156 6.174 10.117942
0.304 0.760 2.348 4.226 6.404  9.554534
0.198 0.722 2.449 4.577 6.494  9.236193
0.294 0.673 2.128 4.606 6.714 10.172699
0.432 0.743 2.001 4.146 6.530  9.760654
0.291 0.905 2.411 4.423 6.579 10.090380
0.257 0.917 1.948 4.401 6.109  9.808529
0.330 0.769 2.186 4.615 7.045  9.919120
0.358 0.908 1.856 4.130 6.785  9.619926
0.403 0.882 1.834 3.880 6.491  9.394529
0.305 0.921 2.156 3.972 6.190  9.576820
0.314 0.800 2.132 4.164 6.324  9.494888
0.293 0.782 1.822 3.504 6.230  9.750639
0.437 0.773 1.955 3.650 6.052  9.502489
0.466 0.753 1.975 3.187 5.992  9.347914
0.364 0.932 1.810 3.585 5.273  8.820800
0.382 0.690 2.165 3.791 5.931  9.769423
0.393 0.889 1.995 3.971 6.082  8.708895
0.395 0.970 2.546 4.223 6.247  9.475681
0.326 0.846 2.477 4.551 6.540  9.118223
0.305 0.788 2.188 4.471 7.167  9.069250
0.420 0.768 2.206 4.293 7.220  9.835725
0.433 0.831 2.095 4.034 6.637  9.387100
0.386 0.797 2.117 3.821 6.228  8.987650
0.372 0.634 1.622 3.495 5.387  8.528256
0.318 0.732 1.405 3.305 5.726  8.075489
0.354 0.903 1.747 3.216 4.903  8.362234
0.372 0.606 2.093 3.663 5.871  8.538583
0.298 0.572 1.576 3.726 5.537  8.505056
0.285 0.781 1.645 3.298 5.757  8.393965
0.269 0.496 1.712 3.075 5.175  8.048662
0.342 0.860 1.529 3.533 5.124  7.738203
0.250 0.236 1.804 3.828 5.665  8.268006
0.313 0.893 2.001 4.026 6.117  9.094372
0.424 0.904 1.966 3.890 6.207  8.441492
0.406 1.133 2.355 4.023 6.154  8.492560
0.335 0.965 2.426 4.180 6.033  8.902916
0.405 0.915 2.438 4.569 6.472  8.146483
0.274 0.800 2.252 4.154 6.392  8.695158
0.388 0.932 2.249 4.060 5.999  8.842796
0.407 0.929 2.238 4.084 5.599  7.918345
0.407 0.929 2.238 4.084 5.599  7.918345
