0.47 0.73 1.13 1.55 1.97 2.41 2.76 3.07 3.55
0.311 0.633 1.044 1.426 1.825 2.241 2.205 2.57 2.591
0.357 0.79 1.035 1.398 1.87 2.35 2.597 3.014 2.92
0.357 0.672 0.894 1.156 1.59 2.07 2.525 2.696 3.519
0.643 0.713 0.941 1.157 1.493 1.739 2.095 2.465 3.31
0.452 0.725 0.957 1.237 1.651 2.053 2.406 2.725 3.25
0.7 0.896 1.15 1.444 1.498 1.829 1.887 1.961 2.856
0.47 0.74 1.01 1.32 1.66 2.05 2.26 2.54 3.04
0.681 1.011 1.255 1.812 2.061 2.059 2.137 2.368 2.686
0.528 0.859 1.391 1.777 2.326 2.44 2.401 2.532 2.686
0.608 0.887 1.175 1.631 1.984 2.519 2.583 2.57 2.922
0.605 0.831 1.126 1.462 1.941 2.173 2.347 3.118 2.933
0.501 0.781 0.974 1.363 1.68 1.975 2.344 2.248 3.295
0.58 0.779 0.923 1.207 1.564 1.746 2.086 2.424 2.514
0.438 0.699 0.939 1.204 1.384 1.564 1.818 2.168 2.335
0.547 0.693 0.884 1.086 1.276 1.477 1.574 1.93 2.153
0.525 0.724 0.817 1.038 1.249 1.43 1.564 1.633 2.126
0.755 0.982 1.027 1.192 1.378 1.643 1.796 1.971 2.24
0.754 1.103 1.254 1.465 1.593 1.804 2.049 2.225 2.423
0.666 1.054 1.489 1.779 1.94 2.182 2.357 2.49 2.678
0.534 0.858 1.459 1.993 2.33 2.351 2.469 2.777 2.582
0.519 0.771 1.066 1.799 2.27 2.34 2.475 2.501 2.676
0.622 0.846 1.016 1.283 2.08 2.556 2.572 2.452 2.753
0.504 0.624 0.974 1.22 1.49 2.456 2.658 2.598 2.953
0.661 0.936 1.166 1.483 1.616 1.893 2.821 3.749 3.196
0.608 0.94 1.374 1.779 1.971 2.119 2.373 2.75 3.966
0.584 0.857 1.405 1.799 1.974 2.301 2.37 2.626 3.13
0.571 0.715 1.008 1.537 1.911 2.091 2.301 2.406 2.535
0.574 0.77 0.887 1.159 1.638 1.87 2.438 2.357 2.417
0.538 0.649 0.797 1.02 1.245 1.843 2.061 2.263 2.579
0.475 0.601 0.768 0.911 1.126 1.374 2.158 2.211 2.569
0.628 0.669 0.859 0.969 1.06 1.245 1.475 2.266 2.256
0.636 0.754 0.86 0.991 1.082 1.151 1.379 1.727 2.435
0.482 0.734 0.985 1.13 1.264 1.357 1.545 1.792 2.154
0.692 0.87 1.149 1.308 1.386 1.429 1.568 1.74 1.841
0.553 0.815 1.086 1.303 1.387 1.469 1.538 1.702 1.862
0.619 0.786 1.069 1.405 1.616 1.656 1.675 1.727 1.905
0.576 0.83 1.149 1.465 1.71 1.827 1.886 1.856 2.085
0.547 0.902 1.165 1.354 1.693 1.841 1.872 1.856 1.823
0.533 0.889 1.353 1.64 1.729 2.424 2.003 2.218 2.302
0.645 0.934 1.22 1.571 1.908 2.066 2.187 2.276 2.789
0.79 0.904 1.169 1.595 2.137 2.291 2.666 2.697 3.791
0.642 1 1.584 1.944 2.281 2.544 2.597 2.818 3.288
