1.43 2.302 3.348 4.287 5.128 6.155 7.06 7.265 7.497 8.198 9.154 9.6
1.273 2.045 3.293 4.191 5.146 5.655 6.469 6.706 7.15 7.903 8.449 8.654
1.28 2.197 3.212 4.568 5.056 5.932 6.259 8 7.265 8.551 9.02 9
1.175 2.055 3.266 4.255 5.038 5.694 6.662 6.837 7.686 8.348 8.123 9.154
1.181 2.125 2.941 4.096 4.878 5.932 6.321 7.288 8.074 7.878 9.479 9.617
1.361 2.026 3.055 3.658 4.585 5.52 6.837 7.265 7.662 8.123 10.21 9.728
1.273 1.78 2.534 3.572 4.368 5.313 5.812 6.554 7.806 7.591 8.551 7.878
1.302 1.737 2.036 3.12 4.049 5.183 6.238 7.52 8.049 8.654 8.298 9.234
1.244 1.445 2.249 2.853 3.515 4.418 5.444 5.733 6.662 7.31 9.047 9.073
1.101 1.316 1.818 2.978 3.702 4.271 5.388 5.972 6.49 7.173 7.38 9.288
1.043 1.485 2.055 2.829 3.791 4.175 4.808 5.294 6.948 6.727 7.591 9.315
1.306 1.754 1.899 2.7 4.426 5.264 6.156 6.334 8.076 8.777 9.782 9.546
1.615 1.723 2.493 2.824 3.524 5.197 6.279 6.454 7.07 7.773 8.763 10.279
1.293 1.924 2.623 3.621 4.128 4.754 5.952 7.073 8.352 9.032 9.984 10.225
1.162 1.79 3.074 3.291 4.579 4.648 5.116 6.314 7.069 7.069 7.808 8.337
1.223 1.641 2.66 3.79 4.239 5.597 5.35 5.912 6.837 6.727 6.948 8.424
1.493 2.324 3.068 3.746 4.913 4.368 5.276 5.832 6.053 6.706 7.686 7.219
1.22 1.88 2.62 3.4 4.18 4.95 5.69 6.38 7.02 7.26 8.15 8.64
1.23 2.12 3.32 4.28 5.16 6.42 6.87 7.09 7.93 8.07 8.59 9.79
1.31 2.13 3 3.81 4.75 5.25 5.95 6.43 7 7.47 8.14 8.55
1.337 1.851 2.951 3.577 4.927 6.243 7.232 7.239 8.346 8.345 8.956 9.584
1.208 2.029 2.965 4.143 4.724 5.901 6.811 7.051 7.248 8.292 9.478 10.893
1.431 1.953 2.47 3.85 5.177 6.347 7.825 6.746 8.636 8.467 8.556 11.127
1.401 2.032 2.965 3.596 5.336 7.202 6.966 9.862 10.67 10.46 10.202 9.644
1.718 1.986 2.618 3.277 4.186 5.589 6.05 6.15 9.536 9.823 7.303 11.869
1.609 1.835 2.395 3.182 4.067 5.149 5.501 6.626 6.343 10.245 8.491 11.634
1.5 1.975 1.978 2.937 3.798 4.419 5.115 6.712 9.04 9.364 9.142 10.346
1.309 1.735 1.907 2.373 3.81 4.667 5.509 5.972 6.939 8.543 9.514 11.73
1.223 1.633 1.83 2.052 2.866 4.474 5.424 6.469 6.343 8.418 7.383 5.822
1.24 1.568 1.864 2.211 2.648 3.38 4.816 5.516 6.407 7.395 8.079 7.187
1.264 1.602 2.069 2.554 3.057 4.078 5.012 6.768 7.754 8.303 7.786 9.575
1.408 1.86 2.323 3.131 3.73 4.394 5.209 6.54 8.403 7.275 9.414 9.281
1.503 1.951 2.267 2.936 4.214 4.971 5.657 5.95 6.891 8.752 9.752 8.629
1.456 2.177 2.42 2.895 3.651 5.064 5.44 6.167 7.08 7.736 7.295 5.885
1.432 1.875 2.496 3.229 3.744 4.964 6.375 6.745 7.466 7.284 8.47 10.001
1.476 1.783 2.032 2.778 3.598 4.766 5.982 7.658 7.882 8.539 9.488 10.355
1.388 1.711 1.954 2.405 3.3 4.22 4.999 6.391 6.665 8.214 8.485 8.668
1.374 1.712 1.905 2.396 2.845 4.124 5.256 5.526 6.956 8.03 8.349 8.083
1.477 1.606 2.077 2.36 2.977 3.48 4.851 5.268 6.523 4.727 8.807 8.002
1.33 1.59 1.785 2.586 3.059 3.871 4.374 5.565 6.703 5.776 7.745 7.773
1.142 1.46 1.652 1.969 3.13 3.589 4.513 5.138 6.422 8.026 4.759 11.357
1.123 1.304 1.614 1.977 2.532 3.97 4.834 5.499 6.099 6.987 5.961 9.044
1.143 1.333 1.45 1.789 2.56 3.159 4.154 5.167 6.015 6.186 7.056 9.391
1.148 1.325 1.516 1.672 2.087 2.975 3.79 6.087 6.134 6.651 7.424 9.113
1.126 1.218 1.462 1.79 2.035 2.436 3.861 4.222 5.149 6.437 6.905 5.365
1.058 1.391 1.413 1.824 2.361 2.682 3.278 4.104 4.998 6.331 7.844 7.971
1.146 1.312 1.672 1.816 2.395 2.902 3.1 3.728 4.769 6.072 6.451 7.96
1.429 1.706 2.166 2.551 3.172 3.411 3.972 4.352 5.083 4.941 5.305 9.011
1.111 1.693 2.253 2.918 3.609 4.204 4.531 5.087 5.416 6.087 6.763 7.916
1.029 1.334 1.626 2.709 3.785 4.448 4.799 5.207 5.562 6.018 7.143 6.247
1.208 1.466 1.778 2.069 3.553 4.292 5.191 5.742 5.919 6.417 7.941 7.154
1.369 1.724 2.163 2.868 3.325 5.903 5.899 6.877 6.784 7.467 7.121 11.31
0.932 1.555 2.091 3.17 4.208 5.032 6.715 7.858 7.428 7.565 7.629 9.87
1.07 1.246 2.091 2.613 3.98 4.927 5.876 7.426 6.967 8.153 7.89 7.36
1.472 1.534 1.689 3.083 3.977 5.92 6.415 6.833 8.192 9.013 8.314 9.036
1.574 1.849 2.055 2.452 3.95 4.879 6.138 7.481 8.217 7.567 7.924 8.179
