"nlogLik" "AICc" "AIC" "RMSE.CV" "Conv_rate_CV" "jit"
"1" -183.137142857143 -364.259285714286 -364.272857142857 0.0900757226428571 1 0
"2" -296.517857142857 -563.614285714286 -565.180714285714 0.0741958555714286 0.857142857142857 0.380571428571429
"3" -277.745 -528.280714285714 -529.633571428571 0.0699892169285714 1 0.0325
"4" -292.812857142857 -558.417857142857 -559.768571428571 0.0769326412857143 0.921428571428571 0.0635714285714286
"5" -274.726428571429 -522.243571428571 -523.595 0.0784196048571429 0.985714285714286 0.0318571428571429
"6" -238.967857142857 -452.926428571429 -454.079285714286 0.177602600071429 0.992857142857143 0.0417142857142857
"7" -217.624285714286 -410.235714285714 -411.387857142857 0.0826721699285714 0.978571428571429 0.3915
"8" -238.98 -452.951428571429 -454.105714285714 0.0807352785714286 0.971428571428571 0.00592857142857143
"9" -306.364285714286 -581.072857142857 -582.874285714286 0.074132133 0.607142857142857 1.76442857142857
"10" -287.627857142857 -545.831428571429 -547.4 0.0699179046428571 0.742857142857143 0.487857142857143
"11" -302.983571428571 -576.545714285714 -578.112142857143 0.0766110877857143 0.721428571428571 0.952714285714286
"12" -284.6 -539.775 -541.342142857143 0.0785044759285714 0.75 0.723857142857143
"13" -248.370714285714 -469.535714285714 -470.887857142857 0.178528776 0.764285714285714 0.545857142857143
"14" -226.473571428571 -425.737857142857 -427.09 0.0834141590714286 0.714285714285714 0.798714285714286
"15" -247.839285714286 -468.47 -469.823571428571 0.0827745089285714 0.621428571428571 0.240571428571429
"16" -303.192857142857 -574.727142857143 -576.527142857143 0.0921259737857143 0.9 0.0301428571428571
"17" -304.175 -574.443571428571 -576.493571428571 0.0885051261428571 0.971428571428571 0.285
"18" -318.738571428571 -603.570714285714 -605.621428571429 0.0873417913571429 1 0.592857142857143
"19" -313.860714285714 -593.815714285714 -595.866428571429 0.0909418759285714 1 1.565
"20" -306.648571428571 -579.391428571429 -581.440714285714 0.0916842347857143 0.964285714285714 0.756571428571429
"21" -306.230714285714 -580.805 -582.602857142857 0.08310674 0.992857142857143 7.14285714285714e-05
"22" -309.819285714286 -587.98 -589.779285714286 0.0891216983571429 0.985714285714286 0.582642857142857
"23" -692.616428571429 -1355.80785714286 -1357.375 0.0892609906428571 0.971428571428571 0.000214285714285714
